iter	Passed	Remaining
0	157	157247
1	318	158915
2	473	157417
3	617	153851
4	772	153727
5	924	153092
6	1068	151596
7	1208	149802
8	1343	147984
9	1482	146771
10	1621	145765
11	1753	144334
12	1874	142319
13	2016	141985
14	2162	142004
15	2305	141772
16	2435	140840
17	2577	140612
18	2719	140403
19	2837	139033
20	2971	138515
21	3106	138114
22	3255	138273
23	3399	138257
24	3545	138288
25	3679	137842
26	3806	137168
27	3952	137221
28	4087	136873
29	4218	136396
30	4361	136320
31	4510	136437
32	4662	136618
33	4795	136239
34	4943	136307
35	5067	135708
36	5205	135495
37	5338	135151
38	5483	135130
39	5626	135029
40	5781	135222
41	5904	134685
42	6058	134832
43	6208	134883
44	6342	134593
45	6481	134430
46	6606	133953
47	6753	133952
48	6890	133733
49	7022	133435
50	7176	133541
51	7323	133517
52	7471	133492
53	7615	133413
54	7755	133255
55	7903	133228
56	8048	133148
57	8179	132845
58	8315	132619
59	8467	132649
60	8596	132326
61	8749	132368
62	8893	132269
63	9044	132279
64	9186	132138
65	9331	132050
66	9479	132002
67	9629	131974
68	9775	131892
69	9918	131768
70	10054	131558
71	10175	131147
72	10317	131021
73	10450	130776
74	10592	130639
75	10736	130536
76	10868	130283
77	11000	130027
78	11126	129709
79	11276	129684
80	11430	129687
81	11570	129530
82	11707	129347
83	11852	129251
84	12004	129225
85	12135	128979
86	12287	128943
87	12422	128740
88	12571	128682
89	12706	128477
90	12837	128231
91	12973	128040
92	13106	127820
93	13240	127611
94	13386	127520
95	13514	127258
96	13641	126990
97	13793	126955
98	13920	126687
99	14048	126437
100	14183	126248
101	14318	126059
102	14443	125784
103	14577	125590
104	14728	125542
105	14852	125264
106	14982	125039
107	15128	124946
108	15273	124850
109	15413	124712
110	15538	124450
111	15687	124382
112	15833	124286
113	15978	124183
114	16102	123920
115	16226	123654
116	16383	123644
117	16503	123354
118	16628	123103
119	16754	122865
120	16891	122706
121	17012	122434
122	17133	122164
123	17270	122009
124	17385	121697
125	17524	121559
126	17670	121464
127	17802	121279
128	17921	121001
129	18056	120836
130	18186	120644
131	18305	120370
132	18451	120282
133	18573	120033
134	18722	119964
135	18861	119825
136	18993	119645
137	19109	119365
138	19236	119158
139	19378	119036
140	19512	118876
141	19655	118765
142	19797	118647
143	19930	118474
144	20054	118251
145	20167	117963
146	20286	117719
147	20423	117571
148	20540	117316
149	20682	117201
150	20821	117069
151	20953	116896
152	21100	116810
153	21224	116594
154	21350	116393
155	21479	116211
156	21599	115977
157	21719	115743
158	21849	115569
159	21987	115436
160	22130	115324
161	22248	115088
162	22396	115005
163	22509	114741
164	22657	114659
165	22789	114496
166	22915	114303
167	23055	114178
168	23179	113979
169	23327	113892
170	23451	113692
171	23578	113505
172	23716	113371
173	23865	113292
174	23994	113118
175	24126	112957
176	24256	112786
177	24390	112635
178	24523	112480
179	24649	112294
180	24809	112258
181	24950	112138
182	25101	112066
183	25234	111910
184	25363	111737
185	25498	111589
186	25639	111469
187	25772	111316
188	25915	111202
189	26069	111138
190	26200	110976
191	26331	110809
192	26468	110672
193	26599	110512
194	26727	110336
195	26867	110212
196	26998	110049
197	27140	109932
198	27284	109823
199	27435	109743
200	27557	109545
201	27683	109362
202	27838	109298
203	27976	109164
204	28105	108992
205	28251	108890
206	28386	108747
207	28529	108632
208	28664	108487
209	28791	108309
210	28923	108155
211	29098	108160
212	29247	108065
213	29385	107929
214	29519	107780
215	29676	107714
216	29827	107625
217	29947	107426
218	30073	107247
219	30196	107059
220	30324	106889
221	30453	106724
222	30608	106649
223	30742	106499
224	30865	106315
225	30991	106137
226	31109	105938
227	31237	105768
228	31369	105613
229	31489	105420
230	31624	105277
231	31752	105113
232	31880	104944
233	32012	104792
234	32159	104689
235	32291	104537
236	32430	104406
237	32551	104219
238	32707	104143
239	32846	104012
240	32987	103889
241	33132	103778
242	33265	103629
243	33390	103455
244	33529	103326
245	33646	103128
246	33790	103011
247	33915	102840
248	34038	102662
249	34163	102491
250	34290	102326
251	34411	102143
252	34536	101972
253	34661	101799
254	34780	101613
255	34904	101442
256	35051	101335
257	35172	101155
258	35299	100991
259	35433	100848
260	35555	100673
261	35687	100524
262	35815	100365
263	35962	100259
264	36084	100084
265	36214	99930
266	36337	99756
267	36474	99624
268	36640	99568
269	36769	99413
270	36892	99241
271	37040	99137
272	37174	98996
273	37295	98818
274	37446	98721
275	37580	98579
276	37703	98409
277	37823	98232
278	37958	98094
279	38091	97950
280	38215	97781
281	38341	97620
282	38479	97490
283	38607	97335
284	38741	97194
285	38889	97088
286	39031	96967
287	39168	96832
288	39321	96738
289	39475	96647
290	39615	96520
291	39766	96420
292	39901	96280
293	40031	96130
294	40153	95960
295	40287	95819
296	40436	95713
297	40558	95544
298	40691	95401
299	40824	95256
300	40963	95127
301	41097	94985
302	41222	94824
303	41372	94720
304	41506	94579
305	41644	94449
306	41771	94292
307	41912	94166
308	42062	94062
309	42202	93934
310	42352	93828
311	42505	93730
312	42655	93623
313	42802	93511
314	42951	93402
315	43090	93272
316	43211	93103
317	43362	92997
318	43510	92886
319	43653	92763
320	43794	92637
321	43938	92515
322	44070	92371
323	44210	92241
324	44345	92102
325	44475	91951
326	44608	91807
327	44745	91672
328	44889	91552
329	45051	91467
330	45186	91328
331	45316	91178
332	45447	91032
333	45578	90884
334	45703	90724
335	45851	90611
336	45975	90451
337	46106	90302
338	46231	90144
339	46372	90018
340	46513	89889
341	46665	89783
342	46808	89658
343	46947	89528
344	47079	89382
345	47205	89227
346	47339	89086
347	47463	88925
348	47581	88755
349	47705	88596
350	47824	88428
351	47946	88265
352	48067	88101
353	48197	87952
354	48322	87798
355	48438	87625
356	48569	87478
357	48697	87329
358	48822	87173
359	48951	87025
360	49077	86871
361	49197	86707
362	49337	86578
363	49464	86427
364	49589	86272
365	49722	86130
366	49865	86008
367	49989	85851
368	50123	85712
369	50246	85554
370	50375	85407
371	50505	85261
372	50648	85138
373	50779	84994
374	50895	84825
375	51025	84679
376	51144	84517
377	51277	84376
378	51399	84218
379	51530	84075
380	51653	83919
381	51775	83763
382	51895	83602
383	52025	83457
384	52158	83317
385	52279	83159
386	52420	83032
387	52542	82875
388	52674	82735
389	52805	82593
390	52954	82479
391	53081	82330
392	53208	82182
393	53349	82054
394	53505	81950
395	53646	81823
396	53773	81676
397	53889	81511
398	54018	81365
399	54133	81200
400	54277	81078
401	54401	80925
402	54540	80795
403	54683	80671
404	54820	80538
405	54939	80378
406	55066	80232
407	55183	80070
408	55326	79946
409	55475	79830
410	55620	79709
411	55749	79564
412	55878	79420
413	56001	79268
414	56137	79133
415	56261	78983
416	56389	78837
417	56517	78691
418	56647	78548
419	56773	78401
420	56901	78256
421	57056	78148
422	57195	78019
423	57336	77890
424	57467	77749
425	57599	77610
426	57735	77476
427	57859	77326
428	57988	77183
429	58116	77038
430	58241	76889
431	58363	76737
432	58495	76597
433	58639	76474
434	58777	76342
435	58907	76200
436	59059	76088
437	59210	75972
438	59340	75831
439	59463	75680
440	59597	75544
441	59725	75399
442	59881	75290
443	60006	75143
444	60136	75001
445	60264	74858
446	60406	74730
447	60531	74583
448	60664	74445
449	60794	74303
450	60918	74155
451	61059	74027
452	61179	73874
453	61305	73728
454	61425	73575
455	61570	73452
456	61702	73314
457	61822	73161
458	61948	73015
459	62075	72870
460	62193	72715
461	62325	72577
462	62455	72437
463	62607	72322
464	62748	72194
465	62877	72053
466	63009	71914
467	63128	71761
468	63260	71623
469	63413	71508
470	63535	71359
471	63658	71210
472	63787	71069
473	63911	70922
474	64038	70779
475	64153	70623
476	64281	70480
477	64395	70323
478	64532	70190
479	64677	70066
480	64800	69919
481	64927	69776
482	65053	69632
483	65190	69501
484	65333	69374
485	65464	69236
486	65605	69108
487	65734	68967
488	65856	68819
489	65972	68664
490	66101	68524
491	66229	68383
492	66362	68246
493	66496	68111
